name,location,GEN,SPO,MUS,MAT,LAN,TEC,GEO,HIS,REC,skin,region,ethnicity
Martha,Worcester,84,37,63,28,55,72,41,86,34,#FDDBB4,WM,WB
Nathan,Shrewsbury,56,74,41,85,33,48,67,52,73,#F1C27D,WM,WB
Amber,Dudley,73,42,56,67,28,84,35,78,55,#FDDBB4,WM,WB
Max,Hereford,42,85,34,56,78,33,67,42,82,#FDDBB4,WM,WB
Raj,Birmingham,33,52,74,88,65,41,56,73,28,#8D5524,WM,IN
Deepa,Wolverhampton,55,34,82,67,42,78,34,55,73,#C68642,WM,IN
Hassan,Coventry,67,35,53,72,84,28,45,61,77,#C68642,WM,PK
Ifeoma,Birmingham,44,63,81,37,52,75,28,84,56,#6B3A2A,WM,AF
Aleksandra,Telford,75,41,56,44,88,32,63,77,28,#F1C27D,WM,WO
Daniel,Leicester,55,73,48,34,82,45,67,28,71,#F1C27D,EM,WB
Ethan,Nottingham,82,28,34,67,53,78,42,85,46,#FDDBB4,EM,WB
Hannah,Derby,34,55,82,48,67,24,73,42,86,#FDDBB4,EM,WB
Ben,Lincoln,67,42,55,83,28,71,44,63,78,#F1C27D,EM,WB
Holly,Northampton,43,78,34,56,85,42,67,34,71,#FDDBB4,EM,WB
Toby,Mansfield,78,34,68,42,55,83,27,56,65,#FDDBB4,EM,WB
Lucy,Loughborough,42,67,78,33,58,84,45,72,28,#FDDBB4,EM,WB
Archie,Chesterfield,56,83,42,67,34,55,78,42,28,#F1C27D,EM,WB
Nova,Northampton,42,73,56,34,82,55,67,42,78,#F1C27D,EM,WB
Ananya,Leicester,56,28,73,85,44,62,37,71,83,#C68642,EM,IN
Jing,Nottingham,42,63,37,78,55,84,46,32,71,#E0AC69,EM,CH
Pawel,Derby,63,82,45,34,71,56,28,84,47,#F1C27D,EM,WO
Tahmina,Leicester,34,55,67,82,78,42,34,67,55,#8D5524,EM,BD
Aaron,Bristol,74,45,56,82,33,67,41,73,58,#FDDBB4,SW,WB
Freya,Bath,53,34,82,45,76,58,67,42,31,#FDDBB4,SW,WB
David,Exeter,88,52,34,67,45,73,28,56,82,#F1C27D,SW,WB
Violet,Gloucester,34,82,56,43,67,28,83,55,74,#FDDBB4,SW,WB
Finn,Taunton,65,38,45,78,82,34,56,64,43,#FDDBB4,SW,WB
Georgia,Plymouth,42,67,78,33,58,84,45,72,28,#FDDBB4,SW,WB
Frank,Swindon,78,53,34,65,42,87,28,74,55,#F1C27D,SW,WB
Destiny,Bournemouth,56,28,84,72,45,63,37,85,42,#FDDBB4,SW,WB
Henry,Cheltenham,67,42,55,34,78,62,85,33,56,#F1C27D,SW,WB
Mia,Salisbury,44,73,35,82,56,42,67,54,78,#FDDBB4,SW,WB
Alfie,Yeovil,85,34,67,55,42,78,34,67,53,#FDDBB4,SW,WB
Quinn,Truro,34,82,55,42,67,34,78,85,42,#FDDBB4,SW,WB
Kofi,Bristol,43,74,62,35,87,28,55,46,73,#4A2912,SW,AF
Adam,Norwich,72,55,34,83,47,62,28,76,45,#FDDBB4,E,WB
Rosie,Cambridge,56,34,78,42,85,67,33,54,81,#FDDBB4,E,WB
Millie,Colchester,45,82,56,34,73,42,67,55,28,#FDDBB4,E,WB
Kieran,Peterborough,34,65,42,78,56,83,28,67,74,#FDDBB4,E,WB
Nadia,Ipswich,67,38,74,55,28,85,42,63,56,#FDDBB4,E,WB
Gavin,Chelmsford,55,82,35,67,42,73,28,56,84,#F1C27D,E,WB
Faith,Norwich,78,34,47,67,55,82,34,56,42,#FDDBB4,E,WB
Parker,Stevenage,42,73,55,82,34,67,45,78,53,#F1C27D,E,WB
Amy,Southend,76,53,72,34,82,67,45,42,28,#FDDBB4,E,WB
Marta,Peterborough,44,67,55,78,34,62,82,42,28,#F1C27D,E,WO
Rafiq,Bedford,42,73,55,87,34,64,28,78,46,#8D5524,E,BD
Cameron,Leeds,55,78,42,34,67,85,53,42,28,#F1C27D,YH,WB
Logan,Sheffield,82,34,67,55,42,73,28,85,56,#FDDBB4,YH,WB
Tyler,York,55,67,78,42,34,85,67,55,42,#FDDBB4,YH,WB
Taylor,Rotherham,42,85,55,34,67,42,78,73,56,#F1C27D,YH,WB
Zara,Doncaster,34,78,67,55,42,34,85,67,55,#FDDBB4,YH,WB
Jaxon,Barnsley,78,42,34,67,55,82,42,34,78,#F1C27D,YH,WB
Skyler,Harrogate,56,34,82,42,78,55,34,67,85,#FDDBB4,YH,WB
Lincoln,Wakefield,34,67,55,82,42,34,78,56,67,#FDDBB4,YH,WB
Harper,Halifax,67,55,42,34,82,67,55,34,42,#F1C27D,YH,WB
Blake,Hull,42,82,67,55,34,42,67,78,55,#FDDBB4,YH,WB
Vikram,Bradford,67,42,55,82,73,28,34,78,65,#8D5524,YH,IN
Arjun,Leeds,34,78,42,67,55,82,78,34,42,#C68642,YH,IN
Owen,Swansea,73,55,42,67,34,78,85,42,56,#FDDBB4,WA,WB
Rhys,Cardiff,82,42,67,34,55,42,78,67,85,#F1C27D,WA,WB
Sian,Newport,42,78,55,82,67,34,42,56,73,#FDDBB4,WA,WB
Evan,Wrexham,55,34,82,67,42,85,34,78,55,#FDDBB4,WA,WB
Ffion,Aberystwyth,67,55,34,42,78,67,55,34,82,#FDDBB4,WA,WB
Gethin,Llanelli,34,82,55,78,34,42,67,85,42,#F1C27D,WA,WB
Sana,Cardiff,42,67,85,55,78,34,42,73,67,#C68642,WA,PK
Mason,Edinburgh,67,34,55,82,42,78,34,55,85,#F1C27D,SC,WB
Fiona,Glasgow,55,78,42,34,67,55,82,42,34,#FDDBB4,SC,WB
Hamish,Dundee,82,42,67,55,34,42,78,67,55,#FDDBB4,SC,WB
Iona,Aberdeen,42,55,78,67,82,34,55,34,67,#FDDBB4,SC,WB
Euan,Edinburgh,34,67,42,78,55,82,34,78,42,#FDDBB4,SC,WB
Kirsty,Stirling,78,34,55,42,67,34,82,55,78,#FDDBB4,SC,WB
Calum,Perth,55,82,34,67,42,78,55,34,67,#FDDBB4,SC,WB
Angus,Inverness,67,42,78,55,34,67,42,82,55,#FDDBB4,SC,WB
Mhairi,Falkirk,42,55,67,34,78,55,67,42,82,#FDDBB4,SC,WB
Lachlan,Kirkcaldy,34,67,55,82,42,34,78,67,55,#F1C27D,SC,WB
Diana,Glasgow,78,34,42,67,82,55,34,78,42,#FDDBB4,SC,WB
Archer,Edinburgh,55,67,82,34,55,42,67,34,78,#FDDBB4,SC,WB
Alejandro,Glasgow,78,55,34,42,67,82,34,55,78,#E0AC69,SC,WO
Carmen,Edinburgh,55,34,67,78,42,55,67,78,34,#E0AC69,SC,WO
Riley,Newcastle,82,67,42,55,34,78,42,34,67,#F1C27D,NE,WB
Kyle,Sunderland,34,78,55,67,82,34,55,67,42,#FDDBB4,NE,WB
Felicity,Middlesbrough,55,42,78,34,67,55,82,42,78,#FDDBB4,NE,WB
Abel,Gateshead,67,55,34,82,42,67,34,78,55,#F1C27D,NE,WB
Elise,Durham,42,67,83,55,78,34,67,42,55,#FDDBB4,NE,WB
Emerson,Darlington,78,34,55,42,67,82,55,34,78,#F1C27D,NE,WB
Fionnuala,Belfast,42,67,82,55,78,34,67,42,55,#FDDBB4,NI,WI
Padraig,Derry,78,34,55,67,42,82,55,67,34,#FDDBB4,NI,WI
Saoirse,Belfast,55,82,34,42,67,55,78,34,82,#FDDBB4,NI,WI
Eoin,Newry,34,55,67,78,82,42,34,55,67,#FDDBB4,NI,WI
Siobhan,Lisburn,67,42,55,34,78,67,42,82,55,#FDDBB4,NI,WI
Cillian,Omagh,42,78,42,67,55,34,82,55,78,#FDDBB4,NI,WI
Niamh,Bangor,78,34,67,55,42,78,55,34,67,#FDDBB4,NI,WI
Aoife,Craigavon,55,67,78,42,34,55,67,78,42,#FDDBB4,NI,WI
Theo,Wimbledon,68,42,55,73,34,82,45,67,56,#FDDBB4,LON,WB
Scarlett,Dulwich,42,67,82,34,78,55,28,73,85,#FDDBB4,LON,WB
Rajan,Ealing,74,55,34,67,42,88,56,28,#C68642,#F1C27D,LON,IN
Leila,Fulham,56,34,73,82,67,42,55,78,#E0AC69,#FDDBB4,LON,MX
Keisha,Bexley,82,42,56,34,73,67,78,55,#8D5524,#F1C27D,LON,CB
Olu,Woolwich,67,78,34,55,42,73,82,28,#8D5524,#FDDBB4,LON,AF
Kwame,Deptford,55,34,67,78,82,42,34,56,73,#4A2912,LON,AF
Nia,Clapham,73,42,56,34,67,78,55,82,42,#8D5524,LON,MX
Darnell,Catford,42,88,34,67,55,73,28,42,78,#8D5524,LON,CB
Lucia,Kensington,78,34,55,67,82,42,73,56,34,#E0AC69,LON,WO
Sebastian,Winchester,85,42,34,67,55,73,42,78,56,#FDDBB4,SE,WB
Lian,Reigate,42,67,78,55,34,82,56,34,#F1C27D,#FDDBB4,SE,CH
Jasper,Eastbourne,67,34,55,82,42,78,73,56,28,#F1C27D,SE,WB
Harriet,Folkestone,55,78,42,34,67,55,82,73,34,#FDDBB4,SE,WB
Willow,Sevenoaks,34,55,82,67,78,42,34,56,73,#FDDBB4,SE,WB
Reggie,Dover,73,82,34,55,42,67,28,78,56,#F1C27D,SE,WB
Annabel,Horsham,56,34,67,78,55,82,42,34,73,#FDDBB4,SE,WB
Ravi,Bicester,42,55,73,88,34,67,56,78,42,#C68642,SE,IN
Katarina,Milton Keynes,67,42,55,34,78,82,34,56,73,#F1C27D,SE,WO
Tariq,Luton,55,73,42,67,34,78,82,42,56,#8D5524,SE,BD
Saira,Stockport,78,55,34,67,42,82,56,73,#E0AC69,#FDDBB4,NW,PK
Shanique,Warrington,34,67,82,55,78,34,42,56,#C68642,#FDDBB4,NW,CB
Zain,Lancaster,67,42,55,34,78,67,82,42,#C68642,#F1C27D,NW,PK
Sunita,Macclesfield,55,78,34,82,42,55,67,34,#E0AC69,#FDDBB4,NW,IN
Luke,Carlisle,82,34,67,55,42,78,34,82,55,#FDDBB4,NW,WB
Abigail,Kendal,42,55,78,67,34,82,55,73,42,#FDDBB4,NW,WB
Adebayo,Southport,73,82,42,34,67,55,78,34,#6B3A2A,#F1C27D,NW,AF
Maisie,Chorley,56,34,73,82,55,42,67,78,34,#FDDBB4,NW,WB
Adeel,Bolton,42,67,55,78,34,73,82,42,56,#C68642,NW,PK
Yemi,Salford,67,55,34,42,78,82,34,56,73,#6B3A2A,NW,AF
Lydia,Coventry,73,42,56,82,34,78,55,67,42,#FDDBB4,WM,WB
Kabir,Stafford,42,78,34,55,67,82,73,42,#C68642,#F1C27D,WM,BD
Penelope,Lichfield,55,34,82,67,42,55,78,34,73,#FDDBB4,WM,WB
Usman,Nuneaton,82,67,42,34,55,73,42,78,#E0AC69,#FDDBB4,WM,PK
Laura,Tamworth,34,55,78,82,67,34,42,56,73,#FDDBB4,WM,WB
Neha,Birmingham,67,34,55,78,42,82,56,73,42,#C68642,WM,IN
Emeka,Wolverhampton,42,78,67,34,55,42,73,82,56,#6B3A2A,WM,AF
Tyrese,Sandwell,55,82,34,67,78,55,34,42,73,#8D5524,WM,MX
Jaylen,Nottingham,78,42,55,34,67,82,42,56,#8D5524,#F1C27D,EM,CB
Neelam,Leicester,34,67,82,55,42,78,34,73,#C68642,#FDDBB4,EM,IN
Chidera,Grantham,55,34,67,78,82,42,56,34,#8D5524,#FDDBB4,EM,AF
Nasreen,Kettering,67,78,42,34,55,67,73,82,#C68642,#FDDBB4,EM,BD
Eleanor,Corby,42,55,73,82,34,55,67,42,78,#FDDBB4,EM,WB
Mei,Nottingham,73,42,34,85,67,78,55,34,42,#E0AC69,EM,CH
Salma,Leicester,34,78,55,67,82,42,34,73,56,#8D5524,EM,BD
Robbie,Plymouth,82,55,42,34,67,73,78,56,34,#F1C27D,SW,WB
Helena,Exeter,42,34,78,67,55,82,34,42,73,#FDDBB4,SW,WB
Patrick,Torquay,67,82,34,55,42,67,56,78,42,#FDDBB4,SW,WB
Megan,Barnstaple,55,42,67,78,34,55,82,34,73,#FDDBB4,SW,WB
Dayo,Dorchester,34,67,55,82,78,42,34,56,#4A2912,#F1C27D,SW,AF
Tess,Chippenham,78,34,42,55,67,82,73,42,56,#FDDBB4,SW,WB
Pippa,Penzance,42,78,82,34,55,67,42,34,73,#FDDBB4,SW,WB
Lukas,Bath,67,55,34,73,42,78,56,82,34,#F1C27D,SW,WO
Barnaby,Bury St Edmunds,55,42,78,34,67,55,82,73,42,#FDDBB4,E,WB
Deepika,King's Lynn,82,34,55,67,42,78,34,56,#E0AC69,#FDDBB4,E,IN
Xiu,Great Yarmouth,34,67,42,78,55,82,73,34,#F1C27D,#FDDBB4,E,CH
Ralph,Thetford,67,82,34,55,78,42,56,67,34,#F1C27D,E,WB
Stefan,Cambridge,42,55,67,34,82,78,42,56,73,#F1C27D,E,WO
Kavita,Luton,55,34,82,78,42,67,34,73,56,#C68642,E,IN
Aiden,Sheffield,73,42,55,67,34,82,78,34,56,#FDDBB4,YH,WB
Tasneem,Huddersfield,42,78,34,55,67,42,56,82,#C68642,#FDDBB4,YH,BD
Sanjay,Dewsbury,67,55,82,34,42,73,34,56,#C68642,#F1C27D,YH,IN
Thea,Scarborough,34,42,67,78,55,34,82,67,42,#FDDBB4,YH,WB
Imran,Keighley,55,67,42,82,34,78,56,42,73,#C68642,YH,PK
Meera,Bradford,82,34,55,67,73,42,34,78,56,#C68642,YH,IN
Marlon,Swansea,67,82,34,55,42,78,56,34,#8D5524,#F1C27D,WA,CB
Cerys,Carmarthen,42,55,78,34,67,42,82,73,56,#FDDBB4,WA,WB
Aled,Bangor,55,34,67,82,42,55,34,78,73,#FDDBB4,WA,WB
Bronwen,Merthyr Tydfil,34,67,42,55,78,73,56,82,34,#FDDBB4,WA,WB
Leroy,Newport,78,42,55,34,67,82,73,42,56,#8D5524,WA,MX
Fraser,Edinburgh,55,78,34,67,42,82,56,34,73,#FDDBB4,SC,WB
Eilidh,Glasgow,82,34,67,42,78,55,34,67,82,#FDDBB4,SC,WB
Gordon,Paisley,34,55,82,78,34,67,42,56,73,#FDDBB4,SC,WB
Morag,Ayr,67,42,34,55,82,73,78,42,56,#FDDBB4,SC,WB
Craig,Livingston,42,82,55,34,67,42,56,78,73,#F1C27D,SC,WB
Yusuf,Glasgow,55,34,78,67,42,82,34,55,73,#C68642,SC,PK
Declan,Newcastle,82,67,34,55,42,73,78,42,56,#FDDBB4,NE,WB
Alicia,Durham,34,42,78,67,55,82,34,73,42,#FDDBB4,NE,WB
Tunde,Hartlepool,67,82,42,34,78,55,42,56,#6B3A2A,#F1C27D,NE,AF
Bridget,Hexham,55,34,67,82,42,67,73,34,78,#FDDBB4,NE,WB
Safiya,Sunderland,42,55,82,34,67,78,56,42,73,#8D5524,NE,AF
Roisin,Belfast,73,42,55,67,82,34,78,56,34,#FDDBB4,NI,WI
Lorcan,Enniskillen,42,67,34,78,55,82,42,73,56,#FDDBB4,NI,WI
Maeve,Ballymena,67,34,78,55,42,67,34,82,55,#FDDBB4,NI,WI
Daithi,Armagh,34,82,55,42,67,34,78,55,73,#FDDBB4,NI,WI
